Sheet Row,ARN,Item Name,Selected Tally Parent,Unit,Classification,Reason,Tally MASTERID (if matched)
595,ACH-MF-CM-0030,Nicrome Loops Holder,,No,NOT_SELECTED,Tally Sync not selected for this row,
596,ACH-RD-CM-0047,260364 - Cover Glass 48mm x 60mm,,box,NOT_SELECTED,Tally Sync not selected for this row,
597,ACH-RD-CM-0048,38141 - Indicrom Papers pH 1.0 to 14.0 - 10 Books per Pack,,box,NOT_SELECTED,Tally Sync not selected for this row,
598,ACH-RD-CM-0049,"T402041 - Spare O Ring for PP/PC Desiccator 12""",,pcs,NOT_SELECTED,Tally Sync not selected for this row,
599,ACH-RD-CM-0050,9913-2504 Sterile Syringe Filters - Pack of 45,,,NOT_SELECTED,Tally Sync not selected for this row,
600,ACH-RD-CH-0379,1.05554.0007 - TLC Silica Gel 60F per sheet 20x20cm - 25 Aluminum Sheets per Pack,,box,NOT_SELECTED,Tally Sync not selected for this row,
601,ACH-MF-CM-0031,10977015 - Distilled Water - Ultrapure - 500 Ml per bottle,,Btl,NOT_SELECTED,Tally Sync not selected for this row,
602,ACH-MF-CM-0032,Lancets - Pack of 100 Nos,,box,NOT_SELECTED,Tally Sync not selected for this row,
603,ACH-RD-CM-0051,N205 - 10x75 mm Test Tubes Pyrogen Free USP Type 1 Flint Glass 50 Tubes per box,,box,NOT_SELECTED,Tally Sync not selected for this row,
604,ACH-RD-CM-0052,"240047R - Membrane Filters PTFE, Filteration Rating 0.2 um, Dia 47mm : Pack of 100 Nos",,box,NOT_SELECTED,Tally Sync not selected for this row,
605,ACH-EN-ME-0010,211S - High Vacuum Silicone Greace -,,box,NOT_SELECTED,Tally Sync not selected for this row,
606,ACH-MF-CM-0033,Blood Collection Microsafe Tube 60uL - Pack of 1000 tubes,,box,NOT_SELECTED,Tally Sync not selected for this row,
607,ACH-RD-CM-0053,IC15054 - Reusable Half Face Mask with Twin Filters,,No,NOT_SELECTED,Tally Sync not selected for this row,
608,ACH-MF-CM-0034,Accusharp Punch 2.00 mm,,box,NOT_SELECTED,Tally Sync not selected for this row,
609,ACH-MF-CM-0035,Accusharp Punch 1.00 mm,,box,NOT_SELECTED,Tally Sync not selected for this row,
610,ACH-MF-CM-0036,Accusharp Punch 1.50 mm,,box,NOT_SELECTED,Tally Sync not selected for this row,
611,ACH-MF-CM-0037,Accusharp Punch 1.25 mm,,box,NOT_SELECTED,Tally Sync not selected for this row,
612,ACH-RD-CM-0054,"28918008 - PD midiTrap G-25 3.5mL Sephadx, 50 Columns per Pack",,box,NOT_SELECTED,Tally Sync not selected for this row,
613,ACH-RD-CM-0055,T524000 - Cryo Box 1 & 1.5mL (25 places),,,NOT_SELECTED,Tally Sync not selected for this row,
614,ACH-RD-CM-0056,GEN-MTP-HB-96F - Elisa Plates,,,NO_CHANGE,matches existing Tally item,11427
615,ACH-MF-CM-0038,81570 - Black DÃ©cor,,No,NOT_SELECTED,Tally Sync not selected for this row,
616,ACH-RD-AB-0067,Monoclonal Antibody to C Reactive Protein (Mab CRP),,mg,NOT_SELECTED,Tally Sync not selected for this row,
617,ACH-RD-CM-0057,3021029 - Glassware Cylinders with Spout - 1L,,No,NOT_SELECTED,Tally Sync not selected for this row,
618,ACH-RD-CM-0058,5640029 - Glassware Flask Vol. I/C Stopper CLA - 1L,,No,NOT_SELECTED,Tally Sync not selected for this row,
619,ACH-RD-CH-0380,63053005001730 - Cylinder Measuring Graduated with Spout Class B 500mL,,No,NOT_SELECTED,Tally Sync not selected for this row,
620,ACH-RD-CM-0059,3021024 - Glassware Cylinder with Spout CLA - 500mL,,No,NOT_SELECTED,Tally Sync not selected for this row,
621,ACH-RD-CH-0381,"63053002501730 -- Cylinder Measuring Graduated with Spout, Class B, 250 mL",,No,NOT_SELECTED,Tally Sync not selected for this row,
622,ACH-RD-CM-0060,5640024 - Glassware Flask Vol. I/C Stopper CLA - 500mL,,No,NOT_SELECTED,Tally Sync not selected for this row,
623,ACH-RD-CM-0061,"63053010001730 - Cylinder Measuring Graduated with Spout, Class B - 1L",,No,NOT_SELECTED,Tally Sync not selected for this row,
624,ACH-RD-CH-0382,65065510001730 - Flask Graduated Conical Narrow Mouth - 1 Ltr,,No,NOT_SELECTED,Tally Sync not selected for this row,
625,ACH-RD-CH-0383,Flask Graduated Conical Narrow Mouth - 250 ml,,No,NOT_SELECTED,Tally Sync not selected for this row,
626,ACH-RD-CM-0062,8084007 -Glassware Tubes Centrifuge Grade with Stopper - 15mL,,No,NOT_SELECTED,Tally Sync not selected for this row,
627,ACH-RD-CM-0063,1501009 - Bottles Reagent W/M Grade SCR EW Cap - 25mL,,No,NOT_SELECTED,Tally Sync not selected for this row,
628,ACH-RD-CM-0064,5640006 - Glassware Flask Vol. I/C Stopper CLA - 10mL,,No,NOT_SELECTED,Tally Sync not selected for this row,
629,ACH-RD-CM-0065,5640012 - Glassware Flask Vol. I/C Stopper CLA - 50mL,,No,NOT_SELECTED,Tally Sync not selected for this row,
630,ACH-RD-CM-0066,5640016 - Glassware Flask Vol. I/C Stopper CLA - 100 mL,,No,NOT_SELECTED,Tally Sync not selected for this row,
631,ACH-RD-CM-0067,66048501001730 - Petri Dish - Culture - Top and Bottom - 100mm,,No,NOT_SELECTED,Tally Sync not selected for this row,
632,ACH-RD-CM-0068,3021009 - Glassware Cylinders with Spout CLA 25mL,,No,NOT_SELECTED,Tally Sync not selected for this row,
633,ACH-RD-CM-0069,3021016 - Glassware Cylinders with Spout CLA 100 mL,,No,NOT_SELECTED,Tally Sync not selected for this row,
634,ACH-EN-OP-0002,69198 - ARC HBO - Mercury Short,,No,NOT_SELECTED,Tally Sync not selected for this row,
635,ACH-RD-CH-0384,FV-IC-0050-B - Flask Volumetric with Interchangeable Stopper Accuracy as per Class B - 50mL,,No,NOT_SELECTED,Tally Sync not selected for this row,
636,ACH-RD-CM-0070,3021005 - Glassware Cylinders with Spout CLA 5 mL,,No,NOT_SELECTED,Tally Sync not selected for this row,
637,ACH-MF-CM-0039,Measuring Cylinder - 1L,,No,NOT_SELECTED,Tally Sync not selected for this row,
638,ACH-RD-CH-0385,FV-IC-0100-B - Flask Volumetric with Interchangeable Stopper Accuracy as per Class B - 100mL,,No,NOT_SELECTED,Tally Sync not selected for this row,
639,ACH-RD-CM-0071,GEN-ST-200-SS-CS - Screw Cap Tubes 2.0mL Self Standing Screw Tube & Caps with O ring sterile - 100 Tubes per Pack,,box,NOT_SELECTED,Tally Sync not selected for this row,
640,ACH-RD-CM-0072,SCT-050-SS-C-S - Screw Cap Tubes 0.5mL Self Standing Clear Stirle Fits Tubes & Caps with O ring- 100 Tubes per Pack,,box,NOT_SELECTED,Tally Sync not selected for this row,
641,ACH-MF-CM-0040,VA101B - Viral Transport Medium - 3mL - 50 VTM per Pack,,box,NOT_SELECTED,Tally Sync not selected for this row,
642,ACH-MF-JG-0001,Specimen Collection Oral Flocked Swabs with Molded Break Point Handle,,box,NOT_SELECTED,Tally Sync not selected for this row,
643,ACH-MF-CM-0041,IPCR - 4Q - 0.1mL Strip Tubes and Caps for Rotor-Gene Q Pack size of 250 Strips per box,,,NOT_SELECTED,Tally Sync not selected for this row,
644,ACH-MF-CM-0042,Self Adhesive Tape 24 - 144 Rolls per Pack,,box,NOT_SELECTED,Tally Sync not selected for this row,
645,ACH-MF-CM-0043,Self Adhesive Tape 48,,box,NOT_SELECTED,Tally Sync not selected for this row,
646,ACH-RD-CM-0073,T546021 - Centrifuge Tube 15mL (PP) Sterile - Pack of 500 Pcs,,,NOT_SELECTED,Tally Sync not selected for this row,
647,ACH-RD-CM-0074,"0030014472 - epTIPS Motion pipette tips Reload, with filter, PCR clean, 300 Î¼L,# volume range 20-300 Î¼L, 24x96 tips",,,NO_CHANGE,matches existing Tally item,7491
648,ACH-RD-CM-0075,"0030014430 - epTIPS Motion pipette tips Reload, with filter, PCR clean, 50 Î¼L, volume range 1-50 Î¼L, 24x96 tips",,,NO_CHANGE,matches existing Tally item,7490
649,ACH-MF-CM-0044,9040712 - Etiketten Tough Spots - 1000 per pack,,No,NOT_SELECTED,Tally Sync not selected for this row,
650,ACH-MF-CM-0045,TF-20-R-S - Barrier Universal Tips Rackedsterile 0.5-20uL - Pack of 5 per box,,,NOT_SELECTED,Tally Sync not selected for this row,
651,ACH-RD-CM-0076,T528104 - Racked Graduated Filter Tips 200ml - Sterile 960 Tips per Pack,,box,NOT_SELECTED,Tally Sync not selected for this row,
652,ACH-MF-CM-0046,T528106 - Racked Graduated Filter Tips 1000ml - Sterile 960 Tips per Pack,,box,NOT_SELECTED,Tally Sync not selected for this row,
653,ACH-RD-CM-0077,"2069 - 200uL barrier pipette tip, Micropoint sterile racked - 960 tips per kit",,box,NOT_SELECTED,Tally Sync not selected for this row,
654,ACH-RD-CM-0078,"2149E - 20E Barrier Tip 10uL barrier pipette tip, Free of RNase - 960 tips per kit",,box,NOT_SELECTED,Tally Sync not selected for this row,
655,ACH-RD-CM-0079,P10115 - Micro Tips 0.2-10uL Graduated Natural 1000 Pcs per Pack,,box,NOT_SELECTED,Tally Sync not selected for this row,
656,ACH-MF-CM-0047,9576 - 200uL Filter Tips Rack Sterile 960 Filters per Box,,box,NOT_SELECTED,Tally Sync not selected for this row,
657,ACH-MF-CM-0048,T526118 - Maxipense Filter Tips 1000 uL - 500 tips per Pack,,box,NOT_SELECTED,Tally Sync not selected for this row,
658,ACH-RD-CM-0080,T521050 - Micro Tips 10uL XL/20uL - 1000 tips per Pack,,box,NOT_SELECTED,Tally Sync not selected for this row,
659,ACH-MF-PM-0002,Zip Lock Covers 9*12,,box,NOT_SELECTED,Tally Sync not selected for this row,
660,ACH-MF-PM-0003,Zip Lock Covers 7*10,,box,NOT_SELECTED,Tally Sync not selected for this row,
661,ACH-MF-CM-0049,BF812 - USB to Serial Port - RS-232 Cable Adapter,,No,NOT_SELECTED,Tally Sync not selected for this row,
662,ACH-MF-CM-0050,SD150-12-U-P5 - ACIX Component,,No,NOT_SELECTED,Tally Sync not selected for this row,
663,ACH-EN-EL-0006,Raspberry PI-Display Raspberry PI 7 Inch Touch Screen,,No,NOT_SELECTED,Tally Sync not selected for this row,
664,ACH-EN-EL-0007,2842155-Tsraspi10-16GB-Micro SD Card,,No,NOT_SELECTED,Tally Sync not selected for this row,
665,ACH-MF-CM-0051,2520786-T6090DV-Raspberry PI 5V.2.5A,,No,NOT_SELECTED,Tally Sync not selected for this row,
666,ACH-EN-EL-0008,RPI 8MP Camera Board,,No,NOT_SELECTED,Tally Sync not selected for this row,
667,ACH-EN-EL-0009,FJ-25-D-6.00-4,,No,NOT_SELECTED,Tally Sync not selected for this row,
668,ACH-EN-EL-0010,FJ-10-D-12.00-4,,No,NOT_SELECTED,Tally Sync not selected for this row,
669,ACH-EN-EL-0011,"2815902 - AC-DCC 5V, 5A Power Supply",,No,NOT_SELECTED,Tally Sync not selected for this row,
670,ACH-EN-EL-0012,FJ-05-D-09.00-4,,No,NOT_SELECTED,Tally Sync not selected for this row,
671,ACH-EN-EL-0013,FJ-15-D-12.00-4,,No,NOT_SELECTED,Tally Sync not selected for this row,
672,ACH-EN-EL-0014,FJ-05-D-04.00-4,,No,NOT_SELECTED,Tally Sync not selected for this row,
673,ACH-EN-EL-0015,FJ-15-R-25.00-4,,No,NOT_SELECTED,Tally Sync not selected for this row,
674,ACH-EN-EL-0016,FJ-15-D-18.00-4,,No,NOT_SELECTED,Tally Sync not selected for this row,
675,ACH-RD-CM-0081,A4988 - Stepper Motor Driver,,No,NOT_SELECTED,Tally Sync not selected for this row,
676,ACH-EN-ME-0011,LMU 3 Bush,,No,NOT_SELECTED,Tally Sync not selected for this row,
677,ACH-MF-CM-0052,18755-Hydrogen Peroxide,,ml,NO_CHANGE,matches existing Tally item,7494
678,ACH-MF-CM-0053,AD0K600393 - Acetic Acid,,ml,NOT_SELECTED,Tally Sync not selected for this row,
679,ACH-MF-CM-0054,AZ400-Developer,,No,NOT_SELECTED,Tally Sync not selected for this row,
680,ACH-MF-CM-0055,Chloroform 2465,,ml,NO_CHANGE,matches existing Tally item,11220
681,ACH-MF-CM-0056,Dow Corningstin,,No,NOT_SELECTED,Tally Sync not selected for this row,
682,ACH-MF-CM-0057,Empula Nitric Acid,,ml,NOT_SELECTED,Tally Sync not selected for this row,
683,ACH-MF-CM-0058,MFTM-26A,,ml,NOT_SELECTED,Tally Sync not selected for this row,
684,ACH-MF-CM-0059,Silica Elstomer,,kg,NOT_SELECTED,Tally Sync not selected for this row,
685,ACH-MF-CM-0060,542342 - 250G,,No,NOT_SELECTED,Tally Sync not selected for this row,
686,ACH-MF-CM-0061,Sonite Hardner,,ml,NOT_SELECTED,Tally Sync not selected for this row,
687,ACH-MF-CM-0062,SU 8 Developer,,Ltr,NOT_SELECTED,Tally Sync not selected for this row,
688,ACH-EN-OP-0003,897-LZ420MC08 - LZ4-20MC08-0000 - High Power LEDs - Multi-Colour RGB Emitter Full Color RGGB RoHS Compliant,,No,NOT_SELECTED,Tally Sync not selected for this row,
689,ACH-RD-CM-0082,1398901 - EasyMech Set of M6 X 10MM Socket Head Cap (Allen) Bolt and Nut-12 pcs,,box,NOT_SELECTED,Tally Sync not selected for this row,
690,ACH-RD-CM-0083,56267 - EasyMech Set of M3 X 10MM Socket Head Cap (Allen) Bolt and Nut-12 pcs.,,box,NOT_SELECTED,Tally Sync not selected for this row,
691,ACH-RD-CM-0084,56270 - EasyMech Set of M3 X 16MM Socket Head Cap (Allen) Bolt and Nut-12 pcs,,box,NOT_SELECTED,Tally Sync not selected for this row,
692,ACH-EN-OP-0004,"Omega Optical PN XF2087 - Optical Filter - 660DRLP/12.7mm x 17.8mm, 12.7mm x 17.8mm, 1.1mm thick",,pcs,NOT_SELECTED,Tally Sync not selected for this row,
693,ACH-RD-CH-0386,Mitutoyo 500-196-20 Digital Vernier Caliper 150mm / 6 inch Model,,pcs,NOT_SELECTED,Tally Sync not selected for this row,
694,ACH-EN-EL-0017,"1067-3M15224""X10YD-ND - 1522 MEDICAL TAPE 4"" X 10YD DOUB",,Rol,NOT_SELECTED,Tally Sync not selected for this row,
695,ACH-RD-CH-0387,"SRL 74090 - N-Lauroylsarcosine Sodium Salt (Sarkosyl Sodium) pure, 98%",,mg,NOT_SELECTED,Tally Sync not selected for this row,
696,ACH-RD-CH-0388,"SRL 50661 - Heparin Sodium Salt ex. Bovine Intestinal Mucosa, 150 IU/mg",,ug,NOT_SELECTED,Tally Sync not selected for this row,
697,ACH-RD-CH-0389,InkJet Fusing Sheet 50 SETS (100 Core +100 Overlay) For Fusing Machine,,box,NOT_SELECTED,Tally Sync not selected for this row,
698,ACH-GN-HK-0002,"200 Pcs Hot and Fresh 9X12 IN Aluminium Silver Foil Plastic Pouches Bags for Multipurpose for Tea, Coffee, Food Packaging Metalized Hot/Dry Food Parcel Bags, Pack of 200 (9X12)",,box,NOT_SELECTED,Tally Sync not selected for this row,
699,ACH-RD-CH-0390,CILICAnT Silica Gel White 5 Gram (80 Pcs) Silica Gel Packets Desiccant Dehumidifiers for Moisture Absorption (White) (5 gram X 80 Pcs = 400 Gram),,,NOT_SELECTED,Tally Sync not selected for this row,
700,ACH-MF-PM-0004,"CILICAnT 0.5 Gram (100 Pcs) Premium Silica Gel White Packets Desiccant Dehumidifiers, Non - Indicating Silica Gel Packs for Moisture Absorption (0.5 Gram X 100 Pcs = 50 Gm)",,box,NOT_SELECTED,Tally Sync not selected for this row,
701,ACH-RD-AB-0068,AAA05149 - D-Thyroxine,,ug,NO_CHANGE,matches existing Tally item,11125
702,ACH-RD-AB-0069,FI12110 - 3-Iodo-L-tyrosine,,mg,UPDATE,unit differs: sheet='mg' vs tally='UG' (report only -- not auto-altered),11414
703,ACH-RD-AB-0070,"FT28505 - ,3',5'-Triiodo-L-thyronine",,ug,NO_CHANGE,matches existing Tally item,11420
704,ACH-RD-AB-0071,2FSH2 - Follicle stimulating hormone (FSH) - beta chain antibody,,ug,NOT_SELECTED,Tally Sync not selected for this row,
705,ACH-RD-CH-0391,4CC1 - Cystatin C - Cyst24cc Anti,,ug,NO_CHANGE,matches existing Tally item,11049
706,ACH-RD-AB-0072,HM538 - Dengue Virus (DENV-pan NS1) Antibody,,ug,NOT_SELECTED,Tally Sync not selected for this row,
707,ACH-RD-AB-0073,HM026 - Dengue Virus (DENV-pan NS1) Antibody,,ug,NOT_SELECTED,Tally Sync not selected for this row,
708,ACH-EN-EL-0018,Raspberry Pi 4 VIA Model B 4Gb Ram Linux Micro Controller Board for IOT Electronic Hobby Kit (Green) | B07XT1QJ4S ( WX-9FTE-00VX ),,No,NOT_SELECTED,Tally Sync not selected for this row,
709,ACH-RD-CH-0392,"LANO-S0856-5M - 5MP, 1/1.8"", 8mm Focal Length, M12x0.5 Mount, F 5.6 +- 5%",,pcs,NOT_SELECTED,Tally Sync not selected for this row,
710,ACH-EN-OP-0005,"ACL 108U-A- Aspheric Condenser Lens, Ã˜10 mm, f=8 mm, NA=0.61, ARC: 350-700 nm",,pcs,NOT_SELECTED,Tally Sync not selected for this row,
711,ACH-EN-OP-0006,"ACL 1210U-A - Aspheric Condenser Lens, Ã˜12 mm, f=10.5 mm, NA=0.54, ARC: 350-700 nm",,pcs,NOT_SELECTED,Tally Sync not selected for this row,
712,ACH-RD-CH-0393,ACH PLUNGER -003,,pcs,NOT_SELECTED,Tally Sync not selected for this row,
713,ACH-EN-ME-0012,Base Plate,,pcs,UPDATE,unit differs: sheet='pcs' vs tally='Nos' (report only -- not auto-altered),9543
714,ACH-RD-CH-0394,Dome Sheft Vol For Die (Bottom) Dome Sheet Vol (Top) Holder Plate,,pcs,NOT_SELECTED,Tally Sync not selected for this row,
715,ACH-EN-ME-0013,End Sensor Mounting Plate,,pcs,UPDATE,unit differs: sheet='pcs' vs tally='Nos' (report only -- not auto-altered),9545
716,ACH-RD-CH-0395,End Sensor Plate,,pcs,NOT_SELECTED,Tally Sync not selected for this row,
717,ACH-RD-CH-0396,LED Retainer,,pcs,NOT_SELECTED,Tally Sync not selected for this row,
718,ACH-EN-ME-0014,Lens Body,,pcs,UPDATE,unit differs: sheet='pcs' vs tally='Nos' (report only -- not auto-altered),9541
719,ACH-RD-CH-0397,Moter Unit Mounting (Without Anodising,,pcs,NOT_SELECTED,Tally Sync not selected for this row,
720,ACH-EN-ME-0015,Optical Body - 1,,pcs,NOT_SELECTED,Tally Sync not selected for this row,
721,ACH-EN-EL-0019,Raspberry Board Bracket,,pcs,NOT_SELECTED,Tally Sync not selected for this row,
722,ACH-EN-ME-0016,Rotary Spindle,,pcs,UPDATE,unit differs: sheet='pcs' vs tally='Nos' (report only -- not auto-altered),9503
723,ACH-RD-CH-0398,Wash Dome Fixture Assembly),,pcs,NOT_SELECTED,Tally Sync not selected for this row,
724,ACH-EN-ME-0017,Supply of 3D Printing Parts - SLA TFT_CARTRIDGE ADAPTOR_1,,pcs,NOT_SELECTED,Tally Sync not selected for this row,
725,ACH-EN-OP-0007,"45-316- 12.5 x 17.5mm, 50R/50T, Plate Beamsplitter",,pcs,NOT_SELECTED,Tally Sync not selected for this row,
726,ACH-EN-OP-0008,"19-511 - 12mm Dia. x 19mm FL, Aspheric Condenser Lens",,pcs,NOT_SELECTED,Tally Sync not selected for this row,
727,ACH-EN-OP-0009,"23-812 -12mm Dia. x 8.5mm FL, MgF2 Coated, Aspheric Condenser Lens",,pcs,NOT_SELECTED,Tally Sync not selected for this row,
728,ACH-EN-ME-0018,3mm Clear - 1X1 Feet Acrylic Sheet,,pcs,NOT_SELECTED,Tally Sync not selected for this row,
729,ACH-EN-ME-0019,3mm Black - 1X1 Feet Acrylic Sheet,,pcs,NOT_SELECTED,Tally Sync not selected for this row,
730,ACH-EN-ME-0020,2mm Clear - 1X1 Feet Acrylic Sheet,,pcs,NOT_SELECTED,Tally Sync not selected for this row,
731,ACH-RD-CH-0399,V06501-1 Name: T3 (HCT3); Qty: 1; Catalog No: V06501-1; Size: 1.0mg,,ug,NOT_SELECTED,Tally Sync not selected for this row,
732,ACH-RD-AB-0074,PRL Ab - RUO,,Btl,NOT_SELECTED,Tally Sync not selected for this row,
733,ACH-RD-AB-0075,T3 Ab - RUO,,Btl,NOT_SELECTED,Tally Sync not selected for this row,
734,ACH-RD-AB-0076,SIMPLE Influenza A/B Antigen Test,,pcs,NOT_SELECTED,Tally Sync not selected for this row,
735,ACH-RD-CM-0085,N95 Masks,,No,NOT_SELECTED,Tally Sync not selected for this row,
736,ACH-RD-CM-0086,1492445 - Official Raspberry Pi Debug Probe,,pcs,NOT_SELECTED,Tally Sync not selected for this row,
737,ACH-RD-CM-0087,894292 - Raspberri Pi Pico,,pcs,NOT_SELECTED,Tally Sync not selected for this row,
738,ACH-RD-KT-0017,CoviFlu Plus RUO Kit,,Test,NO_CHANGE,matches existing Tally item,11299
739,ACH-RD-FL-0036,AUCR80 - 5M Bioready Gold Nanospheres - Bare (Citrate),,,NOT_SELECTED,Tally Sync not selected for this row,
740,ACH-EN-ME-0021,"Sealing Film for 96-well PCR Plates, 130mmx80mm",,pcs,NOT_SELECTED,Tally Sync not selected for this row,
741,ACH-EN-EL-0020,Raspberry Pi 4 8GB RAM i All new Raspberry Pi Desktop Computer,,pcs,NOT_SELECTED,Tally Sync not selected for this row,
742,ACH-RD-CM-0088,"UFC5030 - Ultracel-30 regenerated cellulose membrane, 0.5 mL sample volume - Amicon Ultra-0.5 Centrifugal Filter Unit",,,NOT_SELECTED,Tally Sync not selected for this row,
743,ACH-GN-HK-0003,Entrance Door Mat 41*61CM,,pcs,NOT_SELECTED,Tally Sync not selected for this row,
744,ACH-GN-HK-0004,Entrance Door Mat 18*30inches,,pcs,NOT_SELECTED,Tally Sync not selected for this row,
745,ACH-RD-CH-0400,"Desk Lamp Rechargeable Study Lamp Comes with Touch On Off and Student Eye Protection 3 Step, Plastic Pack of 1 -White",,pcs,NOT_SELECTED,Tally Sync not selected for this row,
746,ACH-GN-HK-0005,"BIG Borosilicate Glass Set of 6, Heat-Resistant Drinking Glasses, Double Fashioned Glass Lowball Tumblers, Crystal-Clear Juice Water Cups (350mlX6 Glasses, Transparent)",,pcs,NOT_SELECTED,Tally Sync not selected for this row,
747,ACH-RD-CH-0401,Chi-003 - Recombinant CHIKV E2,,ug,NOT_SELECTED,Tally Sync not selected for this row,
748,ACH-RD-CH-0402,107651 - Sucrose,,g,NOT_SELECTED,Tally Sync not selected for this row,
749,ACH-RD-AB-0077,P-102 - SARS-CoV-2 Nucleocapsid Protein (N Protein)His-tagged Recombinant Protein,,ug,NOT_SELECTED,Tally Sync not selected for this row,
750,ACH-EN-EL-0021,Stainless Steel Hex Drive Countersunk Flat Head Screws (Pack of 10) M2.5X0.45 / 6mm,,box,NOT_SELECTED,Tally Sync not selected for this row,
751,ACH-EN-EL-0022,Metric Alloy Steel Button Head Hex Drive Screws - Class 10.9 Alloy Steel (Pack of 10) M2.5X0.45 / 6mm,,box,NOT_SELECTED,Tally Sync not selected for this row,
752,ACH-RD-CH-0403,Stainless Steel Hex Drive Countersunk Flat Head Screws (Pack of 10) M3X0.5 / 6mm,,box,NOT_SELECTED,Tally Sync not selected for this row,
753,ACH-EN-EL-0023,Stainless Steel Hex Drive Countersunk Flat Head Screws (Pack of 10) - M3X0.5 / 10mm,,box,NOT_SELECTED,Tally Sync not selected for this row,
754,ACH-EN-EL-0024,Stainless Steel Hex Drive Countersunk Flat Head Screws (Pack of 10) M3X0.5 / 16mm,,box,NOT_SELECTED,Tally Sync not selected for this row,
755,ACH-RD-CM-0089,294302 - 2 x 1.5V AA Battery Holder Without Cover,,pcs,NOT_SELECTED,Tally Sync not selected for this row,
756,ACH-RD-CM-0090,1150766 - PCF8575 Remote 16 Bits I2C IIC SMBus I/O Expander Module,,pcs,NOT_SELECTED,Tally Sync not selected for this row,
757,ACH-RD-CM-0091,342924 - EasyMech HT Socket Button Head Cap Allen Bolt M5 X 8,,pcs,NOT_SELECTED,Tally Sync not selected for this row,
758,ACH-EN-SP-0001,Service Charges for Clean Room Validation,,No,NOT_SELECTED,Tally Sync not selected for this row,
759,ACH-EN-SP-0002,"Clean Room Drawing and IQ, OQ, PQ Charges",,No,NOT_SELECTED,Tally Sync not selected for this row,
760,ACH-RD-CM-0092,"M33089 - Microplates for Fluorescence-based Assays, 96-wel",,,NOT_SELECTED,Tally Sync not selected for this row,
761,ACH-RD-CM-0093,Dry Ice,,kg,NO_CHANGE,matches existing Tally item,7411
762,ACH-RD-CM-0094,Liquid Nitrogen,,Ltr,UPDATE,unit differs: sheet='Ltr' vs tally='Lts' (report only -- not auto-altered),7359
763,ACH-RD-CH-0404,VarterX-Q-HPLC Grade Water - Pure Water for Lab,,Ltr,NOT_SELECTED,Tally Sync not selected for this row,
764,ACH-RD-CH-0405,"HPIRC beads - Freezer Dryer Cycle 2 - 1 bead / 1,5ml Tube - EVIK",,No,NOT_SELECTED,Tally Sync not selected for this row,
765,ACH-RD-CM-0095,896559 - Aluminum Heat Sink Case with Double Fans for Raspberry Pi 4B â€“ Black,,pcs,NOT_SELECTED,Tally Sync not selected for this row,
766,ACH-RD-CM-0096,1308009 - 3 in 1 Aluminum Heat Sink Set for Raspberry Pi 3/4,,box,NOT_SELECTED,Tally Sync not selected for this row,
767,ACH-RD-KT-0018,SPRIMEO KIT OF 2S,,box,NOT_SELECTED,Tally Sync not selected for this row,
768,ACH-RD-KT-0019,SPRIMEO KIT OF 5S,,box,NOT_SELECTED,Tally Sync not selected for this row,
769,ACH-RD-CH-0406,"True-Ally Ultra Clear Self-Adhesive Cold Lamination Roll 12"" x 60 FT, Scratch and Water Resistant, Decals, Stickers, Stencils, Easy Peel and Stick (Clear Laminate Sticker Vinyl, Glossy) (12"" x 60FT)",,pcs,NOT_SELECTED,Tally Sync not selected for this row,
770,ACH-EN-SP-0003,Front End Engineering Consultation for Cartridge Assembly Phase 1 v1.0,,No,NOT_SELECTED,Tally Sync not selected for this row,
771,ACH-MF-RM-0001,"22860 - Low-Fluorescence PVDF Transfer Membrane 0.2Ã¬m, 7cm X8.4cm",,pcs,NOT_SELECTED,Tally Sync not selected for this row,
772,ACH-RD-AB-0078,Hyaluronic acid Polyclonal Antibody,,ul,NOT_SELECTED,Tally Sync not selected for this row,
773,ACH-RD-AB-0079,4C28cc C2cc,,ug,NOT_SELECTED,Tally Sync not selected for this row,
774,ACH-RD-CH-0407,4C28 C6,,,NO_CHANGE,matches existing Tally item,11046
775,ACH-RD-CH-0408,4C28 C5,,,NO_CHANGE,matches existing Tally item,11045
776,ACH-RD-CH-0409,4C28cc CRP30cc,,,NO_CHANGE,matches existing Tally item,11048
777,ACH-RD-CH-0410,4C28cc CRP135cc,,,NO_CHANGE,matches existing Tally item,11047
778,ACH-RD-CH-0411,242276 - Activated charcoal,,g,UPDATE,unit differs: sheet='g' vs tally='GMS' (report only -- not auto-altered),10978
779,ACH-EN-OP-0010,OSRAM HBO 200W / 2 L1 Mercury Short-Arc Discharge Lamp,,pcs,NOT_SELECTED,Tally Sync not selected for this row,
780,ACH-EN-EQ-0003,Wondersperm - Sperm Counting Chamber,,pcs,NOT_SELECTED,Tally Sync not selected for this row,
781,ACH-RD-CM-0097,Pasteur Pipette 3mL LDPE Sterile,,box,NOT_SELECTED,Tally Sync not selected for this row,
782,ACH-RD-CM-0098,"CLS3605 - Corning 96 well NBS Microplate- round bottom, white polystyrene, bag of 25 Ã—, non-sterile, lid: no",,pcs,NOT_SELECTED,Tally Sync not selected for this row,
783,ACH-RD-BG-0003,0325-0066 - Chikungunya IgM Pos Pls,,ul,UPDATE,unit differs: sheet='ul' vs tally='UI' (report only -- not auto-altered),10901
